normalize_supplier_name,invoice_description,CategoryLevel1,CategoryLevel2,CategoryLevel3,CategoryLevel4,Cluster
PLUS ONE INTERIOR DESIGN WORKS,Food Court Furniture Refurbishment for Chinatown (iMemo-544334),,,,,2
NOOR ALFARIS TECHNICAL SERVICES EST.,DHER Nursery- External Paint - Geant supermarket,,,,,1
NOOR ALFARIS TECHNICAL SERVICES EST.,DHM -  Pots Painting Work,,,,,1
NOOR ALFARIS TECHNICAL SERVICES EST.,DHM - Fan coil Unit supply & apply access panel for maintenance.,,,,,1
NOOR ALFARIS TECHNICAL SERVICES EST.,Loading Bays and Back-of-House (BOH) Enhancements,,,,,1
INNOVATIVE CONSUMER CONCEPTS FZE,EGC - 40% Breakage share of Emaar Gift Card Program Manager as per contract for the period Oct to Nov 2024,,,,,2
INNOVATIVE CONSUMER CONCEPTS FZE,"EGC - Emaar Gift Card Monthly Ongoing Program Management fees for the month of Nov-Dec-2024, 62030242",,,,,2
WML INTERNATIONAL ELECTRONICS TRADING,Adjustable Standing Desk and Office Chair,,,,,2
WML INTERNATIONAL ELECTRONICS TRADING,Capex 2024 ASV Spa and Recreation,,,,,2
WML INTERNATIONAL ELECTRONICS TRADING,Capex 2024- Coffe and site tables,,,,,2
WML INTERNATIONAL ELECTRONICS TRADING,Protection Covers for Outdoor Furniture,,,,,2
WML INTERNATIONAL ELECTRONICS TRADING,Sustainability Message - Wooden Cards in Russian language,,,,,2
ALTAMYZ ADVERTISING,DMM - MS issue for parking sign and posters for taxi and smoking area,,,,,2
ALTAMYZ ADVERTISING,DMM - MS: Parking Entrance signage rectification,,,,,2
ALTAMYZ ADVERTISING,DMW signages rectifications and updates,,,,,2
ALTAMYZ ADVERTISING,Marketing - Dubai Mall -  Art Gallery Canvas printing | THE EMAAR EYE | Photography Competition,,,,,2
ALTAMYZ ADVERTISING,MS - DMM Removal of existing stand and installation of new signage - Signage Rectification MS Near Nike store Black signage covering with black signage sticker,,,,,2
ALTAMYZ ADVERTISING,TDM - OPERATIONS - NYE 2025 - INDOOR SIGNAGES,,,,,2
V-TECH MARINE SERVICES,Dubai Aquarium - LGM Pumps Vibration Analysis,,,,,2
V-TECH MARINE SERVICES,Dubai Aquarium - Pneumatic Pressure Monitoring System and Emergency Under Water Valve control panel,,,,,2
V-TECH MARINE SERVICES,Dubai Aquarium - Temperature Control Monitoring System,,,,,2
NINTEX UK LIMITED,"Additional DDPs (50,000 Qty)- Nintex DocGen (As per iMemo - 555183)",,,,,2
ARCH ACRYLIC NOVELTIES TRADING LLC,AA Batterie,,,,,2
ARCH ACRYLIC NOVELTIES TRADING LLC,ADM - STEEL U CHANNEL,,,,,2
ARCH ACRYLIC NOVELTIES TRADING LLC,AMAL- STEAM COOKER,,,,,2
ARCH ACRYLIC NOVELTIES TRADING LLC,Amenities trays with cover,,,,,2
ARCH ACRYLIC NOVELTIES TRADING LLC,Amenity Tray/ covers,,,,,2
ARCH ACRYLIC NOVELTIES TRADING LLC,ASV- Charges towards fabricating,,,,,2
ARCH ACRYLIC NOVELTIES TRADING LLC,ASV- Charges towards fabricating custom high density styro b,,,,,2
