normalize_supplier_name,invoice_description,CategoryLevel1,CategoryLevel2,CategoryLevel3,CategoryLevel4,Cluster
PLUS ONE INTERIOR DESIGN WORKS,Food Court Furniture Refurbishment for Chinatown (iMemo-544334),,,,,41
NOOR ALFARIS TECHNICAL SERVICES EST.,DHER Nursery- External Paint - Geant supermarket,,,,,1
NOOR ALFARIS TECHNICAL SERVICES EST.,DHM -  Pots Painting Work,,,,,1
NOOR ALFARIS TECHNICAL SERVICES EST.,DHM - Fan coil Unit supply & apply access panel for maintenance.,,,,,1
NOOR ALFARIS TECHNICAL SERVICES EST.,Loading Bays and Back-of-House (BOH) Enhancements,,,,,1
INNOVATIVE CONSUMER CONCEPTS FZE,EGC - 40% Breakage share of Emaar Gift Card Program Manager as per contract for the period Oct to Nov 2024,,,,,17
INNOVATIVE CONSUMER CONCEPTS FZE,"EGC - Emaar Gift Card Monthly Ongoing Program Management fees for the month of Nov-Dec-2024, 62030242",,,,,17
WML INTERNATIONAL ELECTRONICS TRADING,Adjustable Standing Desk and Office Chair,,,,,8
WML INTERNATIONAL ELECTRONICS TRADING,Capex 2024 ASV Spa and Recreation,,,,,8
WML INTERNATIONAL ELECTRONICS TRADING,Capex 2024- Coffe and site tables,,,,,8
WML INTERNATIONAL ELECTRONICS TRADING,Protection Covers for Outdoor Furniture,,,,,8
WML INTERNATIONAL ELECTRONICS TRADING,Sustainability Message - Wooden Cards in Russian language,,,,,8
ALTAMYZ ADVERTISING,DMM - MS issue for parking sign and posters for taxi and smoking area,,,,,4
ALTAMYZ ADVERTISING,DMM - MS: Parking Entrance signage rectification,,,,,4
ALTAMYZ ADVERTISING,DMW signages rectifications and updates,,,,,4
ALTAMYZ ADVERTISING,Marketing - Dubai Mall -  Art Gallery Canvas printing | THE EMAAR EYE | Photography Competition,,,,,4
ALTAMYZ ADVERTISING,MS - DMM Removal of existing stand and installation of new signage - Signage Rectification MS Near Nike store Black signage covering with black signage sticker,,,,,4
ALTAMYZ ADVERTISING,TDM - OPERATIONS - NYE 2025 - INDOOR SIGNAGES,,,,,4
V-TECH MARINE SERVICES,Dubai Aquarium - LGM Pumps Vibration Analysis,,,,,7
V-TECH MARINE SERVICES,Dubai Aquarium - Pneumatic Pressure Monitoring System and Emergency Under Water Valve control panel,,,,,7
V-TECH MARINE SERVICES,Dubai Aquarium - Temperature Control Monitoring System,,,,,7
NINTEX UK LIMITED,"Additional DDPs (50,000 Qty)- Nintex DocGen (As per iMemo - 555183)",,,,,44
ARCH ACRYLIC NOVELTIES TRADING LLC,AA Batterie,,,,,26
ARCH ACRYLIC NOVELTIES TRADING LLC,ADM - STEEL U CHANNEL,,,,,26
ARCH ACRYLIC NOVELTIES TRADING LLC,AMAL- STEAM COOKER,,,,,26
ARCH ACRYLIC NOVELTIES TRADING LLC,Amenities trays with cover,,,,,26
ARCH ACRYLIC NOVELTIES TRADING LLC,Amenity Tray/ covers,,,,,26
ARCH ACRYLIC NOVELTIES TRADING LLC,ASV- Charges towards fabricating,,,,,26
ARCH ACRYLIC NOVELTIES TRADING LLC,ASV- Charges towards fabricating custom high density styro b,,,,,26
ARCH ACRYLIC NOVELTIES TRADING LLC,ASV- festive decoration 1,,,,,26
ARCH ACRYLIC NOVELTIES TRADING LLC,BANQUET- ACRYLIC ELEVATION,,,,,26
ARCH ACRYLIC NOVELTIES TRADING LLC,BANQUET- CHOCOLATE SPRAY GUN,,,,,26
