normalize_supplier_name,invoice_description,CategoryLevel1,CategoryLevel2,CategoryLevel3,CategoryLevel4,Cluster
101171773 SASKATCHEWAN,101171773 SASKATCHEWAN,,,,,3
11025732 CANADA,11025732 CANADA,,,,,3
1347566 BCLTD,1347566 BCLTD,,,,,3
1ST CHANCE FIRE PROTECTION,1ST CHANCE FIRE PROTECTION,,,,,3
3 BRANQUES VALLES SL,3 BRANQUES VALLES SL,,,,,9
3G KOMPETENZZENTRUM GMBH,3G KOMPETENZZENTRUM GMBH,,,,,13
83574 NEWFOUNDLAND & LABRADOR,83574 NEWFOUNDLAND & LABRADOR,,,,,3
A M PHILLIP TRUCKTECH,A M PHILLIP TRUCKTECH,,,,,3
A&H ENZINGER GMBH AINRING,A&H ENZINGER GMBH AINRING,,,,,13
A&M HERKDESTAD,A&M HERKDESTAD,,,,,3
A2 HOTEL PLOCHINGEN,A2 HOTEL PLOCHINGEN,,,,,58
A4 MOTORS,A4 MOTORS,,,,,41
AA AUTOGLAS,AA AUTOGLAS,,,,,3
AAPPARTEL APARTHOTEL HERFORD,AAPPARTEL APARTHOTEL HERFORD,,,,,3
AARTS AUTO,AARTS AUTO,,,,,12
ABACUS TIERPARK HOTEL BERLIN,ABACUS TIERPARK HOTEL BERLIN,,,,,39
ABAD MONSIEUR CEDRIC,ABAD MONSIEUR CEDRIC,,,,,14
ABC BADALONA SUBMINISTRAMENT ELECTRICS SL,ABC BADALONA SUBMINISTRAMENT ELECTRICS SL,,,,,9
ABD DRACHTEN,ABD DRACHTEN,,,,,3
ABDALLAH MCOLO MONSIEUR ABDALLAH,ABDALLAH MCOLO MONSIEUR ABDALLAH,,,,,14
ABDULAH TAHSSIN UNTEREISESHEIM,ABDULAH TAHSSIN UNTEREISESHEIM,,,,,3
ABDURRAHMAN ERCAN BONN,ABDURRAHMAN ERCAN BONN,,,,,3
ABISTAR GROUP,ABISTAR GROUP,,,,,52
ABREU DE SA MONSIEUR RUBEN,ABREU DE SA MONSIEUR RUBEN,,,,,32
ABS AUTOHERSTEL AD DE GOEY,ABS AUTOHERSTEL AD DE GOEY,,,,,3
ABS FAHRSICHERHEITSZENTRUM GMBH,ABS FAHRSICHERHEITSZENTRUM GMBH,,,,,13
ABSIS,ABSIS,,,,,3
AC MORRISON & RICHARDS LLP,AC MORRISON & RICHARDS LLP,,,,,8
ACCENT INTERIEUR BVBA,ACCENT INTERIEUR BVBA,,,,,6
ACENA MOTOR SL,ACENA MOTOR SL,,,,,35
ACHAT HOTEL HEIDELBERG,ACHAT HOTEL HEIDELBERG,,,,,58
ACHAT PREMIUM DRESDEN,ACHAT PREMIUM DRESDEN,,,,,3
ACM HEATING & GAS,ACM HEATING & GAS,,,,,3
ACR ZELLAMEHLIS ZELLA,ACR ZELLAMEHLIS ZELLA,,,,,3
ACTIPOLE DE LA TURDINE,ACTIPOLE DE LA TURDINE,,,,,3
ACTIVE GROWTH LOGISTICS PARTNERSHIP LP,ACTIVE GROWTH LOGISTICS PARTNERSHIP LP,,,,,3
AD REM INVEST,AD REM INVEST,,,,,3
ADAC RSR GMBH,ADAC RSR GMBH,,,,,13
ADAM HALAJCZKY BERLIN,ADAM HALAJCZKY BERLIN,,,,,39
ADAM ISMAJLI MAGSTADT,ADAM ISMAJLI MAGSTADT,,,,,3
ADAMIOK GMBH BRUCHSAL,ADAMIOK GMBH BRUCHSAL,,,,,13
ADAPEI,ADAPEI,,,,,3
ADAPT,ADAPT,,,,,3
ADAS SOLUTIONS,ADAS SOLUTIONS,,,,,56
ADDINGWELL SAS,ADDINGWELL SAS,,,,,68
ADELHEID SCHMIDBURGBERG,ADELHEID SCHMIDBURGBERG,,,,,3
ADENIUM,ADENIUM,,,,,3
ADINA REUTER BESTENSEE,ADINA REUTER BESTENSEE,,,,,3
ADJUNGO SAS,ADJUNGO SAS,,,,,68
ADLER EVENTS GMBH STENDAL,ADLER EVENTS GMBH STENDAL,,,,,13
ADMIRAL GLASS & SIGNS,ADMIRAL GLASS & SIGNS,,,,,79
ADNEL SMAILHODZIC SCHOLLBRUNN,ADNEL SMAILHODZIC SCHOLLBRUNN,,,,,3
ADR CHAMBERS,ADR CHAMBERS,,,,,3
ADRIAN ISLER RÜLZHEIM,ADRIAN ISLER RÜLZHEIM,,,,,3
ADRIANO MAIORINO NEUBIBERG,ADRIANO MAIORINO NEUBIBERG,,,,,3
ADSCANNER GMBH,ADSCANNER GMBH,,,,,13
ADYEN NV,ADYEN NV,,,,,38
